gpu,solver_key,solver,divergence,dim,ensemble_size,solve_time_ms,mean_steps,step_std,step_cv,normalized_solve_time_ms_per_step,step_variance,min_steps,max_steps,rejected_steps_mean
NVIDIA GeForce RTX 4070 SUPER,julia tsit5 kernel,julia tsit5 kernel,1.0,3,100000,1177.222466,412.19504,185.24408361160562,0.4494088129047007,2.8559840652134,34315.37051310353,35,725,53.73997
NVIDIA GeForce RTX 4070 SUPER,julia tsit5 kernel (sorted),julia tsit5 kernel (sorted),0.0,3,100000,320.085145,712.0,0.0,0.0,0.4495577879213483,0.0,712,712,99.0
NVIDIA GeForce RTX 4070 SUPER,julia tsit5 kernel (sorted),julia tsit5 kernel (sorted),0.1,3,100000,844.284675,693.26382,16.771475541272995,0.024192053670524728,1.2178403814582448,281.28239183151834,658,725,100.36731
NVIDIA GeForce RTX 4070 SUPER,julia tsit5 kernel (sorted),julia tsit5 kernel (sorted),0.2,3,100000,837.0490510000001,662.96624,34.735211034500075,0.05239363475657535,1.2625817130597783,1206.534885611256,583,725,94.92779
NVIDIA GeForce RTX 4070 SUPER,julia tsit5 kernel (sorted),julia tsit5 kernel (sorted),0.3,3,100000,766.100753,632.86606,52.140974932284,0.08238864149593361,1.2105258938992558,2718.681266889069,536,725,89.63117
NVIDIA GeForce RTX 4070 SUPER,julia tsit5 kernel (sorted),julia tsit5 kernel (sorted),0.4,3,100000,782.275713,602.58304,69.72337311006962,0.11570749337729389,1.2982040002320676,4861.348757845979,463,725,84.47841
NVIDIA GeForce RTX 4070 SUPER,julia tsit5 kernel (sorted),julia tsit5 kernel (sorted),0.5,3,100000,752.593973,572.01148,87.6396468231505,0.1532130907987205,1.3156973230677118,7680.707695286554,419,725,79.22195
NVIDIA GeForce RTX 4070 SUPER,julia tsit5 kernel (sorted),julia tsit5 kernel (sorted),0.6,3,100000,727.033289,540.86359,106.28224019777582,0.19650470499923245,1.344208230027094,11295.914581457715,343,725,73.7933
NVIDIA GeForce RTX 4070 SUPER,julia tsit5 kernel (sorted),julia tsit5 kernel (sorted),0.7,3,100000,707.113459,510.01694,124.23946614295264,0.2435987050605665,1.3864509265123626,15435.444947485874,289,725,68.93309
NVIDIA GeForce RTX 4070 SUPER,julia tsit5 kernel (sorted),julia tsit5 kernel (sorted),0.8,3,100000,660.826982,478.26333,143.4806928976977,0.3000035417678744,1.3817220358499993,20586.709234403443,218,725,63.77138
NVIDIA GeForce RTX 4070 SUPER,julia tsit5 kernel (sorted),julia tsit5 kernel (sorted),0.9,3,100000,646.9606660000001,445.98804,163.23024480189503,0.3659969105940487,1.4506233530387946,26644.112818086578,153,726,58.73573
NVIDIA GeForce RTX 4070 SUPER,julia tsit5 kernel (sorted),julia tsit5 kernel (sorted),1.0,3,100000,604.37702,412.19504,185.24408361160562,0.4494088129047007,1.4662403992051918,34315.37051310353,35,725,53.73997
